Postal code,Lat,Lon
7010,63.435,10.3997
7011,63.4322,10.3965
7012,63.43,10.387
7013,63.429,10.3967
7014,63.4303,10.4094
7015,63.4288,10.4221
7016,63.4256,10.4051
7017,63.4255,10.3705
7018,63.429,10.3682
7019,63.41,10.3818
7020,63.4194,10.3541
7021,63.4105,10.3646
7022,63.4018,10.361
7023,63.3966,10.3642
7024,63.3957,10.3237
7025,63.4048,10.3298
7026,63.3844,10.3288
7027,63.39,10.3634
7028,63.388,10.3732
7029,63.3767,10.3652
7030,63.4206,10.3973
7031,63.4068,10.401
7032,63.4078,10.4144
7033,63.4022,10.4305
7035,63.4044,10.4198
7036,63.3909,10.4281
7037,63.3941,10.4113
7038,63.3864,10.401
7039,63.3429,10.5457
7040,63.4504,10.4456
7041,63.4449,10.4454
7042,63.4364,10.4134
7043,63.433,10.4219
7044,63.4364,10.4562
7045,63.4329,10.4497
7046,63.4247,10.4474
7047,63.4204,10.4708
7048,63.4122,10.4696
7049,63.4044,10.4535
7050,63.4124,10.4311
7051,63.4151,10.4189
7052,63.4225,10.4239
7053,63.4322,10.5095
7054,63.4215,10.5451
7055,63.43,10.5473
7056,63.4236,10.5179
7057,63.397,10.545
7058,63.4239,10.4927
7059,63.4186,10.4965
7060,63.2976,10.4826
7066,63.442,10.4367
7067,63.438,10.4277
7068,63.4357,10.4286
7069,63.4154,10.4484
7070,63.42259,10.14925
7071,63.3989,10.3325
7072,63.3517,10.365
7074,63.3556,10.1664
7075,63.3764,10.3839
7079,63.377,10.3375
7080,63.3477,10.3538
7081,63.3693,10.3965
7082,63.346,10.3351
7083,63.32517,10.30711
7088,63.3561,10.348
7089,63.3539,10.3105
7091,63.3619,10.3898
7092,63.3516,10.385
7093,63.3331,10.3669
7097,63.3666,10.3404
7098,63.3689,10.3568
7099,63.3761,10.3505
7540,63.2976,10.4826
7549,63.3082,10.4356
