Kvartal;Hele_landet;Trondheim
2005K1;53.4;53.8
2005K2;54.9;54.3
2005K3;55.4;55.0
2005K4;55.4;55.0
2006K1;58.9;59.0
2006K2;61.8;60.5
2006K3;63.8;61.3
2006K4;64.6;61.8
2007K1;68.6;65.3
2007K2;71.2;66.0
2007K3;71.1;65.6
2007K4;69.5;63.0
2008K1;71.1;64.4
2008K2;72.0;65.9
2008K3;69.6;62.6
2008K4;64.7;58.7
2009K1;67.4;61.6
2009K2;70.9;63.8
2009K3;72.2;65.0
2009K4;72.2;66.8
2010K1;74.6;70.6
2010K2;77.4;71.2
2010K3;77.0;73.2
2010K4;76.9;72.9
2011K1;80.9;77.0
2011K2;83.1;80.0
2011K3;83.4;80.5
2011K4;83.0;82.0
2012K1;86.0;83.2
2012K2;88.8;86.9
2012K3;89.3;87.9
2012K4;88.7;88.4
2013K1;91.4;92.7
2013K2;93.9;92.4
2013K3;92.1;92.3
2013K4;89.6;89.4
2014K1;91.7;91.7
2014K2;95.2;96.2
2014K3;95.3;94.6
2014K4;94.8;96.0
2015K1;98.3;97.7
2015K2;101.5;101.7
2015K3;101.1;101.3
2015K4;99.1;99.3
2016K1;102.8;104.0
2016K2;107.1;106.4
2016K3;109.1;108.8
2016K4;109.1;108.3
2017K1;113.2;111.7
2017K2;114.5;113.0
2017K3;111.8;110.5
2017K4;109.9;106.8
2018K1;112.0;110.0
2018K2;116.4;113.4
2018K3;115.1;110.2
2018K4;112.4;110.4
2019K1;115.4;111.7
2019K2;118.7;111.1
2019K3;117.8;112.1
2019K4;115.3;110.5
2020K1;117.6;113.3
2020K2;121.9;115.4
2020K3;123.6;115.8
2020K4;124.0;117.6
2021K1;130.7;123.5
2021K2;137.0;128.5
2021K3;136.5;129.6
2021K4;133.9;129.8
2022K1;140.1;137.7
2022K2;145.7;139.7
2022K3;143.1;136.7
2022K4;137.4;131.1
2023K1;140.0;135.5
2023K2;145.5;138.5
2023K3;141.3;135.4
2023K4;136.4;131.4
